Data;CMIG4,SA;ABEV3,SA;PETR4,SA;USIM5,SA;BBAS3,SA;VALE3,SA;ITUB4,SA;CSMG3,SA;SBSP3,SA;LREN3,SA;CSNA3;BRFS3,SA;OIBR3,SA;B3SA3,SA;BRKM5,SA;RADL3,SA;VLID3,SA;JBSS3,SA;GGBR4,SA;EMBR3,SA;WEGE3,SA;ELET3,SA
01/10/2013;0,019386107;-0,014520856;0,10511982;0,129277567;0,150870406;0,037434737;0,099869123;0,0337109;0,097042565;0,062490477;0,294926004;-0,025925963;0,007965772;0,019386107;0,119999944;-0,105291871;0,159732604;0,036129032;0,068072289;-0,082491582;0,077778863;0,136000589
01/11/2013;-0,065768621;0,052125718;-0,057663871;0,047979798;-0,135462218;0,003356615;-0,047424124;0,056111397;0,026116302;-0,074070091;-0,027755102;-0,02832694;-0,089968948;-0,065768621;0,046277668;0,030487805;0,059026329;0,04607721;0,015228426;0,109480061;0,082474299;-0,166197004
01/12/2013;-0,061916879;-0,013668672;-0,106694607;0,141365462;-0,051321892;-0,004460552;-0,026413763;-0,026433406;0,086206811;-0,02400635;0,207388749;-0,044609645;-0,017368242;-0,061916879;0,009615433;-0,125443787;-0,120218734;0,044047619;0,018888889;0,041345096;-0,010794536;-0,008445778
01/01/2014;-0,132911392;-0,071016957;-0,139344262;-0,162561576;-0,1438525;-0,074488941;-0,056439974;-0,154028397;-0,158730127;-0,091307798;-0,221835883;-0,114478799;0,039429564;-0,132911392;-0,115238095;-0,01691475;-0,065217731;-0,036488027;-0,064885496;-0,026469033;-0,120666932;-0,110732016
01/02/2014;0,050052138;0,049097309;-0,075510204;-0,178991597;-0,009095166;-0,001512829;0,03139907;0,058142352;-0,034141959;0,040952938;-0,112600536;-0,007400647;-0,063004396;0,050052138;-0,130785791;0,137646249;-0,019931624;-0,112426036;-0,158017493;0,139206207;0,11642248;-0,042146255
01/03/2014;0,117179742;0,004147253;0,161147903;0,047082907;0,101449174;-0,047878788;0,085546685;0,090993177;-0,018604651;0,11300079;-0,009063444;0,05545203;0,117497034;0,117179742;0,10154805;0,18753781;0,186440559;0,034666667;0,005540166;-0,033890261;0,036287235;0,3199996
01/04/2014;0,013333333;-0,037077246;0,049429594;-0,144672532;0,025877194;-0,059516264;0,085299092;-0,042113304;-0,002369716;0,021488662;-0,130081301;0,11258285;-0,02477689;0,013333333;-0,14446323;-0,032093734;-0,010000535;-0,006443299;-0,078512397;-0,047430781;0,10356446;0,177273478
01/05/2014;-0,036842105;-0,028186275;0,007850363;-0,099428571;-0,021376658;-0,036886634;-0,053574919;0,110924164;0,036104515;0,037342064;0,003504673;-0,043650812;-0,044619581;-0,036842105;-0,041392904;0;0,03809527;-0,027237354;-0,003736921;0,058091231;-0,033449275;-0,144144817
01/06/2014;0,055555556;-0,00630517;0,035949668;-0,038071066;0,085626959;0,027406923;0,009913657;0,047589373;0,079779921;0,040416433;0,094295693;0,099170102;0,005587561;0,055555556;-0,034270048;-0,04;0,06422012;0,013333333;-0,029257314;-0,010294069;0,087666687;-0,039097581
01/07/2014;0,044866264;-0,00571066;0,104684725;0,062005277;0,115492918;0,11320106;0,097964643;-0,082715259;-0,146921408;-0,032488784;0,218085106;0,047565119;0,007998142;0,044866264;-0,004258339;0,04002193;-0,028212644;0,098684211;0,031684699;0,067359977;-0,038535769;-0,02190974
01/08/2014;0,114781173;0,04467141;0,223036702;0,004968944;0,269841352;-0,102918529;0,154502729;0,082104745;0,068690841;0,121167961;-0,140611354;0,083063081;0,055997766;0,114781173;0,096222381;0,153927254;0,01747287;0,210778443;-0,026966292;0,010208864;0,027577307;0,307201782
01/09/2014;-0,171111111;-0,020158826;-0,225599348;-0,212608158;-0,281250049;-0,080479484;-0,164197283;-0,228861647;-0,078714396;-0,074474957;-0,115853659;-0,031109615;0,006261962;-0,171111111;0,05331606;-0,043398812;0,011889268;-0,09495549;-0,093148576;0,109324759;0,022186047;-0,197062533
01/10/2014;-0,025915996;0,022443827;-0,155334439;-0,105180534;0,096047474;-0,068901304;0,085082596;-0,089673694;-0,019716986;0,043893844;-0,051724138;0,107314488;0,045022331;-0,025915996;0,119135672;0,074021012;0,038640769;0,207650273;-0,058573854;-0,006625259;0,023096874;-0,051829124
